iter	Passed	Remaining
0	3	3168
1	6	3089
2	9	3065
3	12	3056
4	15	3047
5	18	3048
6	21	3069
7	24	3033
8	27	3020
9	30	3044
10	33	3028
11	36	3010
12	39	3004
13	42	2988
14	45	2979
15	48	2980
16	51	2972
17	54	2958
18	57	2954
19	60	2955
20	64	2995
21	67	2996
22	70	3004
23	73	2997
24	76	2982
25	79	2977
26	82	2956
27	84	2942
28	87	2926
29	90	2914
30	93	2936
31	97	2950
32	100	2952
33	105	2995
34	108	2993
35	111	2982
36	114	2981
37	117	2977
38	120	2979
39	124	2983
40	127	2985
41	131	2990
42	135	3004
43	138	3007
44	141	2996
45	144	2997
46	147	2998
47	151	2997
48	154	3004
49	157	2998
50	161	3000
51	164	2998
52	167	2992
53	170	2987
54	173	2982
55	177	2986
56	180	2991
57	196	3192
58	200	3203
59	203	3194
60	207	3188
61	211	3193
62	214	3190
63	218	3193
64	221	3186
65	225	3188
66	228	3181
67	231	3176
68	235	3173
69	238	3172
70	242	3169
71	245	3164
72	249	3162
73	252	3156
74	255	3155
75	259	3150
76	262	3142
77	265	3135
78	268	3130
79	272	3128
80	275	3123
81	278	3118
82	281	3114
83	289	3157
84	293	3158
85	296	3155
86	300	3150
87	303	3143
88	306	3136
89	309	3125
90	312	3120
91	315	3112
92	318	3106
93	322	3104
94	325	3099
95	329	3099
96	332	3095
97	335	3091
98	339	3085
99	342	3080
100	346	3080
101	349	3075
102	352	3070
103	355	3063
104	359	3061
105	363	3065
106	366	3060
107	370	3061
108	375	3068
109	379	3067
110	382	3064
111	386	3064
112	389	3058
113	393	3055
114	396	3055
115	400	3051
116	403	3047
117	407	3048
118	411	3047
119	414	3043
120	418	3037
121	421	3031
122	424	3024
123	427	3019
124	430	3016
125	434	3012
126	438	3011
127	441	3008
128	445	3008
129	449	3010
130	453	3006
131	456	3001
132	460	2999
133	463	2997
134	466	2990
135	469	2984
136	473	2981
137	477	2981
138	481	2983
139	484	2976
140	488	2973
141	492	2973
142	496	2977
143	500	2974
144	504	2977
145	508	2974
146	513	2977
147	516	2973
148	520	2970
149	526	2985
150	531	2986
151	535	2985
152	538	2983
153	543	2985
154	546	2978
155	549	2974
156	552	2968
157	556	2963
158	559	2958
159	562	2954
160	566	2950
161	568	2942
162	572	2939
163	576	2936
164	579	2933
165	583	2929
166	586	2925
167	589	2921
168	592	2913
169	596	2910
170	599	2905
171	602	2899
172	605	2893
173	607	2885
174	611	2880
175	614	2877
176	617	2870
177	620	2866
178	623	2859
179	626	2854
180	629	2849
181	632	2844
182	635	2839
183	638	2833
184	642	2828
185	645	2823
186	647	2816
187	651	2812
188	654	2806
189	656	2799
190	659	2794
191	662	2787
192	665	2780
193	668	2778
194	671	2772
195	674	2766
196	677	2761
197	680	2755
198	683	2751
199	686	2746
200	689	2740
201	692	2735
202	695	2730
203	698	2725
204	701	2720
205	704	2714
206	707	2709
207	710	2704
208	712	2698
209	716	2695
210	719	2689
211	722	2684
212	725	2680
213	728	2674
214	731	2670
215	734	2666
216	737	2661
217	740	2656
218	743	2651
219	746	2646
220	749	2643
221	753	2639
222	756	2636
223	759	2631
224	763	2628
225	766	2626
226	770	2622
227	774	2622
228	777	2617
229	781	2617
230	785	2613
231	789	2612
232	792	2607
233	796	2606
234	823	2679
235	826	2674
236	831	2675
237	834	2670
238	838	2668
239	841	2664
240	845	2662
241	848	2656
242	852	2655
243	855	2651
244	858	2647
245	862	2644
246	866	2640
247	869	2637
248	872	2632
249	876	2630
250	879	2625
251	883	2622
252	887	2619
253	890	2614
254	894	2613
255	897	2608
256	901	2606
257	911	2621
258	914	2617
259	919	2615
260	922	2612
261	926	2610
262	930	2606
263	934	2605
264	937	2599
265	942	2600
266	945	2595
267	949	2593
268	952	2588
269	957	2588
270	960	2583
271	964	2581
272	967	2577
273	970	2571
274	974	2567
275	976	2562
276	980	2560
277	984	2555
278	987	2552
279	990	2547
280	993	2542
281	997	2538
282	1000	2534
283	1003	2531
284	1006	2525
285	1009	2520
286	1013	2517
287	1016	2512
288	1020	2509
289	1022	2504
290	1025	2499
291	1030	2497
292	1033	2494
293	1037	2490
294	1040	2485
295	1043	2482
296	1046	2477
297	1050	2475
298	1053	2470
299	1057	2466
300	1060	2463
301	1063	2459
302	1067	2454
303	1070	2449
304	1073	2445
305	1076	2441
306	1079	2437
307	1083	2434
308	1086	2429
309	1090	2426
310	1093	2423
311	1096	2418
312	1100	2415
313	1103	2410
314	1106	2407
315	1110	2402
316	1113	2398
317	1116	2394
318	1119	2390
319	1123	2386
320	1126	2382
321	1129	2378
322	1132	2374
323	1135	2369
324	1139	2366
325	1142	2361
326	1145	2357
327	1148	2353
328	1151	2348
329	1155	2345
330	1158	2341
331	1161	2336
332	1164	2333
333	1168	2329
334	1171	2325
335	1174	2320
336	1177	2317
337	1181	2313
338	1184	2309
339	1187	2305
340	1190	2301
341	1194	2297
342	1197	2293
343	1200	2289
344	1203	2285
345	1206	2281
346	1210	2277
347	1213	2273
348	1216	2269
349	1219	2265
350	1222	2260
351	1226	2257
352	1229	2253
353	1232	2248
354	1235	2245
355	1239	2241
356	1242	2238
357	1245	2233
358	1248	2230
359	1252	2225
360	1255	2222
361	1289	2273
362	1293	2270
363	1296	2265
364	1300	2261
365	1303	2257
366	1306	2253
367	1309	2249
368	1312	2244
369	1316	2241
370	1319	2236
371	1322	2232
372	1325	2228
373	1328	2224
374	1332	2220
375	1335	2216
376	1338	2212
377	1341	2207
378	1344	2203
379	1348	2199
380	1350	2194
381	1354	2191
382	1357	2186
383	1360	2182
384	1364	2179
385	1367	2175
386	1371	2172
387	1374	2168
388	1377	2164
389	1381	2160
390	1384	2155
391	1387	2152
392	1390	2147
393	1394	2144
394	1397	2140
395	1400	2136
396	1404	2132
397	1407	2128
398	1410	2125
399	1413	2120
400	1416	2116
401	1420	2112
402	1423	2108
403	1426	2104
404	1429	2100
405	1432	2096
406	1436	2092
407	1439	2089
408	1443	2085
409	1446	2081
410	1449	2077
411	1453	2073
412	1456	2069
413	1459	2066
414	1462	2062
415	1466	2058
416	1469	2054
417	1472	2050
418	1476	2046
419	1479	2042
420	1482	2039
421	1486	2035
422	1489	2031
423	1492	2027
424	1495	2023
425	1501	2022
426	1504	2019
427	1508	2015
428	1511	2011
429	1514	2007
430	1517	2003
431	1520	1999
432	1523	1994
433	1525	1989
434	1528	1985
435	1531	1981
436	1534	1976
437	1536	1971
438	1539	1967
439	1542	1962
440	1545	1958
441	1548	1954
442	1550	1950
443	1554	1946
444	1557	1941
445	1559	1937
446	1563	1933
447	1566	1929
448	1568	1925
449	1572	1921
450	1574	1916
451	1577	1913
452	1580	1908
453	1583	1904
454	1586	1900
455	1589	1896
456	1592	1892
457	1595	1888
458	1598	1883
459	1601	1879
460	1604	1875
461	1607	1871
462	1610	1867
463	1613	1863
464	1616	1859
465	1619	1855
466	1622	1851
467	1625	1847
468	1628	1843
469	1631	1839
470	1634	1835
471	1637	1831
472	1639	1827
473	1643	1823
474	1645	1819
475	1649	1815
476	1652	1811
477	1654	1807
478	1658	1803
479	1661	1799
480	1664	1795
481	1667	1791
482	1670	1787
483	1673	1783
484	1676	1779
485	1679	1775
486	1682	1771
487	1685	1768
488	1687	1763
489	1691	1760
490	1694	1756
491	1696	1752
492	1699	1748
493	1702	1744
494	1705	1740
495	1708	1736
496	1711	1732
497	1714	1728
498	1717	1724
499	1719	1719
500	1722	1716
501	1725	1711
502	1728	1708
503	1731	1704
504	1734	1699
505	1737	1696
506	1740	1692
507	1742	1688
508	1745	1684
509	1748	1680
510	1751	1676
511	1754	1672
512	1757	1668
513	1760	1664
514	1763	1660
515	1766	1656
516	1769	1652
517	1772	1649
518	1775	1645
519	1778	1641
520	1781	1637
521	1784	1634
522	1787	1630
523	1791	1626
524	1794	1623
525	1797	1619
526	1800	1615
527	1803	1612
528	1806	1608
529	1809	1604
530	1812	1600
531	1814	1596
532	1817	1592
533	1820	1588
534	1823	1584
535	1826	1580
536	1829	1577
537	1832	1573
538	1835	1569
539	1838	1565
540	1840	1561
541	1844	1558
542	1847	1554
543	1850	1550
544	1853	1547
545	1856	1543
546	1859	1539
547	1862	1536
548	1865	1532
549	1869	1529
550	1872	1525
551	1875	1521
552	1878	1518
553	1880	1514
554	1884	1510
555	1887	1507
556	1890	1503
557	1893	1499
558	1895	1495
559	1898	1491
560	1901	1488
561	1904	1484
562	1907	1480
563	1910	1476
564	1912	1472
565	1916	1469
566	1919	1465
567	1922	1461
568	1925	1458
569	1928	1454
570	1931	1450
571	1934	1447
572	1936	1443
573	1939	1439
574	1942	1436
575	1945	1432
576	1949	1428
577	1951	1425
578	1954	1421
579	1957	1417
580	1960	1414
581	1964	1410
582	1967	1406
583	1969	1403
584	1972	1399
585	1975	1395
586	1978	1392
587	1981	1388
588	1984	1384
589	1987	1381
590	1990	1377
591	1993	1373
592	1996	1370
593	1999	1366
594	2002	1362
595	2005	1359
596	2008	1355
597	2012	1352
598	2015	1349
599	2018	1345
600	2021	1342
601	2024	1338
602	2027	1334
603	2030	1331
604	2033	1327
605	2036	1324
606	2039	1320
607	2042	1316
608	2045	1313
609	2048	1309
610	2051	1306
611	2054	1302
612	2057	1299
613	2060	1295
614	2063	1291
615	2066	1288
616	2069	1284
617	2072	1281
618	2075	1277
619	2078	1274
620	2081	1270
621	2084	1266
622	2088	1263
623	2090	1259
624	2094	1256
625	2097	1252
626	2100	1249
627	2103	1245
628	2105	1242
629	2109	1238
630	2111	1235
631	2114	1231
632	2117	1227
633	2120	1224
634	2123	1220
635	2126	1217
636	2129	1213
637	2132	1209
638	2135	1206
639	2138	1202
640	2141	1199
641	2144	1195
642	2147	1192
643	2151	1189
644	2153	1185
645	2156	1181
646	2160	1178
647	2162	1174
648	2166	1171
649	2169	1168
650	2173	1164
651	2176	1161
652	2179	1158
653	2182	1154
654	2185	1151
655	2188	1147
656	2191	1144
657	2194	1140
658	2198	1137
659	2200	1133
660	2203	1130
661	2207	1126
662	2209	1123
663	2212	1119
664	2215	1116
665	2218	1112
666	2222	1109
667	2225	1105
668	2228	1102
669	2231	1098
670	2234	1095
671	2237	1092
672	2242	1089
673	2245	1086
674	2248	1082
675	2251	1079
676	2254	1075
677	2257	1072
678	2260	1068
679	2263	1065
680	2266	1061
681	2269	1058
682	2272	1054
683	2275	1051
684	2278	1047
685	2281	1044
686	2284	1040
687	2287	1037
688	2290	1033
689	2293	1030
690	2296	1026
691	2299	1023
692	2302	1019
693	2305	1016
694	2308	1012
695	2311	1009
696	2314	1006
697	2317	1002
698	2320	999
699	2323	995
700	2326	992
701	2329	988
702	2332	985
703	2335	982
704	2338	978
705	2341	975
706	2344	971
707	2347	968
708	2350	964
709	2353	961
710	2356	957
711	2359	954
712	2362	950
713	2364	947
714	2368	943
715	2370	940
716	2373	936
717	2376	933
718	2379	929
719	2382	926
720	2385	923
721	2388	919
722	2391	916
723	2394	912
724	2397	909
725	2400	905
726	2403	902
727	2406	899
728	2409	895
729	2412	892
730	2415	888
731	2418	885
732	2420	881
733	2424	878
734	2427	875
735	2430	871
736	2433	868
737	2436	864
738	2439	861
739	2442	858
740	2445	854
741	2448	851
742	2451	847
743	2453	844
744	2457	840
745	2459	837
746	2462	834
747	2465	830
748	2468	827
749	2471	823
750	2474	820
751	2477	816
752	2482	814
753	2485	810
754	2489	807
755	2491	804
756	2494	800
757	2498	797
758	2500	794
759	2503	790
760	2506	787
761	2509	783
762	2512	780
763	2515	777
764	2518	773
765	2522	770
766	2525	767
767	2528	763
768	2531	760
769	2534	756
770	2537	753
771	2539	750
772	2542	746
773	2545	743
774	2548	739
775	2551	736
776	2554	733
777	2557	729
778	2560	726
779	2563	723
780	2566	719
781	2569	716
782	2572	712
783	2575	709
784	2578	706
785	2581	702
786	2584	699
787	2587	696
788	2590	692
789	2593	689
790	2596	686
791	2599	682
792	2602	679
793	2605	675
794	2608	672
795	2611	669
796	2614	665
797	2617	662
798	2619	659
799	2622	655
800	2626	652
801	2628	649
802	2631	645
803	2635	642
804	2637	638
805	2640	635
806	2643	632
807	2646	628
808	2649	625
809	2652	622
810	2655	618
811	2658	615
812	2661	612
813	2664	608
814	2667	605
815	2669	602
816	2672	598
817	2675	595
818	2678	592
819	2681	588
820	2684	585
821	2687	581
822	2690	578
823	2693	575
824	2697	572
825	2700	568
826	2703	565
827	2706	562
828	2709	558
829	2712	555
830	2715	552
831	2717	548
832	2720	545
833	2723	542
834	2726	538
835	2729	535
836	2732	532
837	2735	528
838	2738	525
839	2741	522
840	2744	518
841	2747	515
842	2750	512
843	2753	508
844	2756	505
845	2758	502
846	2761	498
847	2764	495
848	2767	492
849	2770	488
850	2773	485
851	2776	482
852	2779	479
853	2782	475
854	2785	472
855	2788	469
856	2791	465
857	2794	462
858	2797	459
859	2800	455
860	2803	452
861	2806	449
862	2809	445
863	2812	442
864	2815	439
865	2818	436
866	2821	432
867	2824	429
868	2827	426
869	2830	422
870	2833	419
871	2836	416
872	2839	413
873	2842	409
874	2845	406
875	2848	403
876	2851	399
877	2854	396
878	2857	393
879	2860	390
880	2863	386
881	2866	383
882	2869	380
883	2871	376
884	2875	373
885	2878	370
886	2881	367
887	2884	363
888	2888	360
889	2891	357
890	2894	354
891	2897	350
892	2900	347
893	2903	344
894	2906	340
895	2908	337
896	2911	334
897	2914	331
898	2917	327
899	2920	324
900	2923	321
901	2926	317
902	2929	314
903	2932	311
904	2935	308
905	2938	304
906	2940	301
907	2943	298
908	2946	294
909	2949	291
910	2952	288
911	2955	285
912	2958	281
913	2961	278
914	2964	275
915	2967	272
916	2970	268
917	2973	265
918	2975	262
919	2979	259
920	2981	255
921	2985	252
922	2987	249
923	2990	245
924	2995	242
925	2998	239
926	3001	236
927	3004	233
928	3007	229
929	3010	226
930	3013	223
931	3016	220
932	3019	216
933	3022	213
934	3025	210
935	3028	207
936	3031	203
937	3034	200
938	3037	197
939	3040	194
940	3043	190
941	3045	187
942	3049	184
943	3052	181
944	3055	177
945	3058	174
946	3060	171
947	3063	168
948	3067	164
949	3069	161
950	3072	158
951	3075	155
952	3078	151
953	3081	148
954	3084	145
955	3087	142
956	3090	138
957	3093	135
958	3096	132
959	3099	129
960	3101	125
961	3104	122
962	3107	119
963	3110	116
964	3114	112
965	3117	109
966	3120	106
967	3123	103
968	3126	100
969	3129	96
970	3132	93
971	3135	90
972	3138	87
973	3141	83
974	3144	80
975	3147	77
976	3150	74
977	3153	70
978	3156	67
979	3159	64
980	3162	61
981	3165	58
982	3167	54
983	3171	51
984	3174	48
985	3177	45
986	3180	41
987	3182	38
988	3186	35
989	3188	32
990	3191	28
991	3195	25
992	3198	22
993	3200	19
994	3204	16
995	3206	12
996	3209	9
997	3213	6
998	3215	3
999	3218	0
